Instance,GomoryPasses,MIRCuts,FlowCoverCuts,CliqueCuts,Runtime_sec,NodeCount
gen-ip002.mps,1,1,-1,0,120.01658248901367,2006071.0
gen-ip002.mps,1,1,-1,1,120.01739430427551,2065895.0
gen-ip002.mps,1,1,0,-1,3996.882691860199,471345.0
gen-ip002.mps,1,1,0,0,120.07073163986206,2869393.0
gen-ip002.mps,1,1,0,1,120.01819586753845,2939177.0
gen-ip002.mps,1,1,1,-1,120.01516628265381,3050105.0
gen-ip002.mps,1,1,1,0,120.015958070755,2950596.0
gen-ip002.mps,1,1,1,1,120.0189414024353,2569156.0
gen-ip054.mps,-1,-1,-1,-1,120.02126598358154,5480864.0
gen-ip054.mps,-1,-1,-1,0,120.02991104125977,6458988.0
gen-ip054.mps,-1,-1,-1,1,120.02212738990784,6241644.0
gen-ip054.mps,-1,-1,0,-1,120.0167715549469,5881179.0
gen-ip054.mps,-1,-1,0,0,120.02298521995544,5787103.0
gen-ip054.mps,-1,-1,0,1,120.02991127967834,5951958.0
gen-ip054.mps,-1,-1,1,-1,120.03473472595215,5752670.0
gen-ip054.mps,-1,-1,1,0,120.02240824699402,5688104.0
gen-ip054.mps,-1,-1,1,1,120.01951503753662,5624192.0
gen-ip054.mps,-1,0,-1,-1,120.02149033546448,5624187.0
gen-ip054.mps,-1,0,-1,0,120.02287936210632,5639004.0
gen-ip054.mps,-1,0,-1,1,120.02760148048401,5685126.0
gen-ip054.mps,-1,0,0,-1,120.02610349655151,5585120.0
gen-ip054.mps,-1,0,0,0,120.02696108818054,5661122.0
gen-ip054.mps,-1,0,0,1,120.0250608921051,5643662.0
gen-ip054.mps,-1,0,1,-1,120.02314686775208,5654500.0
gen-ip054.mps,-1,0,1,0,120.02252578735352,5874005.0
gen-ip054.mps,-1,0,1,1,120.02236747741699,5676715.0
gen-ip054.mps,-1,1,-1,-1,120.02083396911621,5672286.0
gen-ip054.mps,-1,1,-1,0,120.02541828155518,5713721.0
gen-ip054.mps,-1,1,-1,1,120.02186417579651,5597274.0
gen-ip054.mps,-1,1,0,-1,120.02502036094666,5696114.0
gen-ip054.mps,-1,1,0,0,120.02304887771606,5549481.0
gen-ip054.mps,-1,1,0,1,120.02625155448914,5554742.0
gen-ip054.mps,-1,1,1,-1,120.03126001358032,5275387.0
gen-ip054.mps,-1,1,1,0,120.02157545089722,5413200.0
gen-ip054.mps,-1,1,1,1,120.02631378173828,5712152.0
gen-ip054.mps,0,-1,-1,-1,120.03151035308838,5814946.0
gen-ip054.mps,0,-1,-1,0,120.03744578361511,5790658.0
gen-ip054.mps,0,-1,-1,1,120.01839351654053,5770905.0
gen-ip054.mps,0,-1,0,-1,120.01928806304932,5540668.0
gen-ip054.mps,0,-1,0,0,120.02054476737976,5693929.0
